,Acanthurus Acanthurus bariene,Acanthurus Acanthurus blochii,Acanthurus Acanthurus chirurgus,Acanthurus Acanthurus dussumieri,Acanthurus Acanthurus guttatus,Acanthurus Acanthurus japonicus,Acanthurus Acanthurus leucocheilus,Acanthurus Acanthurus leucosternon,Acanthurus Acanthurus lineatus,Acanthurus Acanthurus mata,Acanthurus Acanthurus monroviae,Acanthurus Acanthurus nigricans,Acanthurus Acanthurus nigricauda,Acanthurus Acanthurus nigrofuscus,Acanthurus Acanthurus nubilus,Acanthurus Acanthurus olivaceus,Acanthurus Acanthurus pyroferus,Acanthurus Acanthurus tennentii,Acanthurus Acanthurus_achilles,Acanthurus Acanthurus_triostegus,Acanthurus Acanthurus_xanthopterus,Ctenochaetus Ctenochaetus binotatus,Ctenochaetus Ctenochaetus cyanocheilus,Ctenochaetus Ctenochaetus flavicauda,Ctenochaetus Ctenochaetus hawaiiensis,Ctenochaetus Ctenochaetus striatus,Ctenochaetus Ctenochaetus strigosus,Ctenochaetus Ctenochaetus truncatus,Naso Naso annulatus,Naso Naso brachycentron,Naso Naso brevirostris,Naso Naso caesius,Naso Naso fageni,Naso Naso hexacanthus,Naso Naso lituratus,Naso Naso maculatus,Naso Naso minor,Naso Naso tonganus,Naso Naso tuberosus,Naso Naso unicornis,Naso Naso vlamingii,Paracanthurus Paracanthurus_hepatus,Prionurus Prionurus laticlavius,Prionurus Prionurus microlepidotus,Zebrasoma Zebrasoma desjardinii,Zebrasoma Zebrasoma flavescens,Zebrasoma Zebrasoma gemmatum,Zebrasoma Zebrasoma scopas
Naso Naso lituratus,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352,115.352001,115.352001,115.352001,115.352,115.352001,115.352001,115.352002,115.352002,115.352002,115.352002,115.352,115.352001,115.352001,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352002,22.662864000000003,22.662863,22.662864000000003,22.662864000000003,22.662863,22.662864000000003,0.0,26.436405999999998,40.66512,22.662863,22.662863,15.919920000000001,22.662864000000003,115.352002,115.352002,115.352001,115.352001,115.352001,115.352002,115.352001
Naso Naso maculatus,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352,115.352001,115.352001,115.352001,115.352,115.352001,115.352001,115.352002,115.352002,115.352002,115.352002,115.352,115.352001,115.352001,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352002,26.436406,26.436405,26.436406,26.436406,26.436405,26.436406,26.436405999999998,0.0,40.66512,26.436405,26.436405,26.436405999999998,26.436406,115.352002,115.352002,115.352001,115.352001,115.352001,115.352002,115.352001
Naso Naso minor,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352,115.352001,115.352001,115.352001,115.352,115.352001,115.352001,115.352002,115.352002,115.352002,115.352002,115.352,115.352001,115.352001,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352002,40.66512,40.665119000000004,40.66512,40.66512,40.665119000000004,40.66512,40.66512,40.66512,0.0,40.665119000000004,40.665119000000004,40.66512,40.66512,115.352002,115.352002,115.352001,115.352001,115.352001,115.352002,115.352001
Naso Naso tonganus,115.352,115.352,115.352,115.352,115.351999,115.351999,115.352,115.351999,115.352,115.352,115.352,115.351999,115.352,115.352,115.352001,115.352001,115.352001,115.352001,115.351999,115.352,115.352,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352001,6.666111000000001,5.261072,14.264335,19.377171,5.261072,19.377171,22.662863,26.436405,40.665119000000004,0.0,1.425294,22.662863,16.625797,115.352001,115.352001,115.352,115.352,115.352,115.352001,115.352
Naso Naso tuberosus,115.352,115.352,115.352,115.352,115.351999,115.351999,115.352,115.351999,115.352,115.352,115.352,115.351999,115.352,115.352,115.352001,115.352001,115.352001,115.352001,115.351999,115.352,115.352,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352001,6.666111000000001,5.261072,14.264335,19.377171,5.261072,19.377171,22.662863,26.436405,40.665119000000004,1.425294,0.0,22.662863,16.625797,115.352001,115.352001,115.352,115.352,115.352,115.352001,115.352
Naso Naso unicornis,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352,115.352001,115.352001,115.352001,115.352,115.352001,115.352001,115.352002,115.352002,115.352002,115.352002,115.352,115.352001,115.352001,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352002,22.662864000000003,22.662863,22.662864000000003,22.662864000000003,22.662863,22.662864000000003,15.919920000000001,26.436405999999998,40.66512,22.662863,22.662863,0.0,22.662864000000003,115.352002,115.352002,115.352001,115.352001,115.352001,115.352002,115.352001
Naso Naso vlamingii,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352,115.352001,115.352001,115.352001,115.352,115.352001,115.352001,115.352002,115.352002,115.352002,115.352002,115.352,115.352001,115.352001,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352002,16.625798,16.625797,16.625798,19.377172,16.625797,19.377172,22.662864000000003,26.436406,40.66512,16.625797,16.625797,22.662864000000003,0.0,115.352002,115.352002,115.352001,115.352001,115.352001,115.352002,115.352001
Paracanthurus Paracanthurus_hepatus,77.814795,77.814795,77.814795,77.814795,77.814794,77.814794,77.814795,77.814794,77.814795,77.814795,77.814795,77.814794,77.814795,77.814795,77.814796,77.814796,77.814796,77.814796,77.814794,77.814795,77.814795,77.814796,77.814795,77.814796,77.814796,77.814796,77.814796,77.814796,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,0.0,88.16763799999998,88.16763699999998,38.515291000000005,38.515291,38.515292,38.515291
Prionurus Prionurus laticlavius,88.16763699999998,88.16763699999998,88.16763699999998,88.16763699999998,88.16763599999999,88.16763599999999,88.16763699999998,88.16763599999999,88.16763699999998,88.16763699999998,88.16763699999998,88.16763599999999,88.16763699999998,88.16763699999998,88.16763799999998,88.16763799999998,88.16763799999998,88.16763799999998,88.16763599999999,88.16763699999998,88.16763699999998,88.16763799999998,88.16763699999998,88.16763799999998,88.16763799999998,88.16763799999998,88.16763799999998,88.16763799999998,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,88.16763799999998,0.0,47.836691,88.16763699999998,88.16763699999998,88.16763799999998,88.16763699999998
Prionurus Prionurus microlepidotus,88.16763599999999,88.16763599999999,88.16763599999999,88.16763599999999,88.16763499999999,88.16763499999999,88.16763599999999,88.16763499999999,88.16763599999999,88.16763599999999,88.16763599999999,88.16763499999999,88.16763599999999,88.16763599999999,88.16763699999998,88.16763699999998,88.16763699999998,88.16763699999998,88.16763499999999,88.16763599999999,88.16763599999999,88.16763699999998,88.16763599999999,88.16763699999998,88.16763699999998,88.16763699999998,88.16763699999998,88.16763699999998,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,88.16763699999998,47.836691,0.0,88.16763599999999,88.16763599999999,88.16763699999998,88.16763599999999
Zebrasoma Zebrasoma desjardinii,77.814794,77.814794,77.814794,77.814794,77.81479300000001,77.81479300000001,77.814794,77.81479300000001,77.814794,77.814794,77.814794,77.81479300000001,77.814794,77.814794,77.814795,77.814795,77.814795,77.814795,77.81479300000001,77.814794,77.814794,77.814795,77.814794,77.814795,77.814795,77.814795,77.814795,77.814795,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,38.515291000000005,88.16763699999998,88.16763599999999,0.0,32.298382000000004,32.298383,32.298382000000004
Zebrasoma Zebrasoma flavescens,77.814794,77.814794,77.814794,77.814794,77.814793,77.81479300000001,77.814794,77.81479300000001,77.814794,77.814794,77.814794,77.81479300000001,77.814794,77.814794,77.814795,77.814795,77.814795,77.814795,77.81479300000001,77.814794,77.814794,77.814795,77.814794,77.814795,77.814795,77.814795,77.814795,77.814795,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,38.515291,88.16763699999998,88.16763599999999,32.298382000000004,0.0,23.923106999999998,10.27836
Zebrasoma Zebrasoma gemmatum,77.814795,77.814795,77.814795,77.814795,77.814794,77.814794,77.814795,77.814794,77.814795,77.814795,77.814795,77.814794,77.814795,77.814795,77.814796,77.814796,77.814796,77.814796,77.814794,77.814795,77.814795,77.814796,77.814795,77.814796,77.814796,77.814796,77.814796,77.814796,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,38.515292,88.16763799999998,88.16763699999998,32.298383,23.923106999999998,0.0,23.923106999999998
Zebrasoma Zebrasoma scopas,77.814794,77.814794,77.814794,77.814794,77.814793,77.81479300000001,77.814794,77.81479300000001,77.814794,77.814794,77.814794,77.81479300000001,77.814794,77.814794,77.814795,77.814795,77.814795,77.814795,77.81479300000001,77.814794,77.814794,77.814795,77.814794,77.814795,77.814795,77.814795,77.814795,77.814795,115.352001,115.352,115.352001,115.352001,115.352,115.352001,115.352001,115.352001,115.352001,115.352,115.352,115.352001,115.352001,38.515291,88.16763699999998,88.16763599999999,32.298382000000004,10.27836,23.923106999999998,0.0
