,Acanthurus Acanthurus albimento,Acanthurus Acanthurus albipectoralis,Acanthurus Acanthurus bariene,Acanthurus Acanthurus blochii,Acanthurus Acanthurus chirurgus,Acanthurus Acanthurus chronixis,Acanthurus Acanthurus dussumieri,Acanthurus Acanthurus fowleri,Acanthurus Acanthurus gahhm,Acanthurus Acanthurus grammoptilus,Acanthurus Acanthurus guttatus,Acanthurus Acanthurus japonicus,Acanthurus Acanthurus leucocheilus,Acanthurus Acanthurus leucosternon,Acanthurus Acanthurus lineatus,Acanthurus Acanthurus maculiceps,Acanthurus Acanthurus mata,Acanthurus Acanthurus monroviae,Acanthurus Acanthurus nigricans,Acanthurus Acanthurus nigricauda,Acanthurus Acanthurus nigrofuscus,Acanthurus Acanthurus nubilus,Acanthurus Acanthurus olivaceus,Acanthurus Acanthurus pyroferus,Acanthurus Acanthurus sohal,Acanthurus Acanthurus tennentii,Acanthurus Acanthurus tractus,Acanthurus Acanthurus tristis,Acanthurus Acanthurus_achilles,Acanthurus Acanthurus_triostegus,Acanthurus Acanthurus_xanthopterus,Ctenochaetus Ctenochaetus binotatus,Ctenochaetus Ctenochaetus cyanocheilus,Ctenochaetus Ctenochaetus flavicauda,Ctenochaetus Ctenochaetus hawaiiensis,Ctenochaetus Ctenochaetus marginatus,Ctenochaetus Ctenochaetus striatus,Ctenochaetus Ctenochaetus strigosus,Ctenochaetus Ctenochaetus truncatus,Naso Naso annulatus,Naso Naso brachycentron,Naso Naso brevirostris,Naso Naso caesius,Naso Naso fageni,Naso Naso hexacanthus,Naso Naso lituratus,Naso Naso maculatus,Naso Naso minor,Naso Naso tergus,Naso Naso tonganus,Naso Naso tuberosus,Naso Naso unicornis,Naso Naso vlamingii,Paracanthurus Paracanthurus_hepatus,Prionurus Prionurus chrysurus,Prionurus Prionurus laticlavius,Prionurus Prionurus microlepidotus,Zebrasoma Zebrasoma desjardinii,Zebrasoma Zebrasoma flavescens,Zebrasoma Zebrasoma gemmatum,Zebrasoma Zebrasoma scopas,Zebrasoma Zebrasoma veliferum,Zebrasoma Zebrasoma xanthurum
Acanthurus Acanthurus albimento,0.0,11.850912313022969,12.65920949296493,12.312325463926054,12.235826226189854,14.047208321642419,11.379747777432625,13.110810566042515,13.037351452345433,10.973237475556624,11.882298890660001,13.299464535355298,9.51621696677849,12.263965702450841,12.076896697383471,12.12282632571585,11.527894190749413,11.068907539826428,13.537716726841209,9.469701112345682,9.342887230888413,14.168166345657252,10.026374049312391,13.31328872239264,17.906359488401066,14.120324202821424,12.91703078876594,12.55857048312838,14.988367062019591,7.146436149701476,8.471877516170437,12.6991688152307,13.083941503763059,13.037181570645306,16.16481427897323,15.094529711370898,12.68797057902907,19.981072128416173,15.286023513847889,11.983222975662922,9.371193793766459,11.990585869095412,11.686133222206912,10.126216278250062,10.946377182294691,14.050592100908656,13.916371176521842,11.559595661868476,9.132220942090443,7.653522745280515,13.09367351802822,7.379089421661375,13.297037474803776,12.104026242682215,13.262479672886915,10.155314324705056,10.845462849845793,10.674293396729905,14.586851907574529,24.428967171586066,18.512413837242,11.402605148499065,13.989186752166288
Acanthurus Acanthurus albipectoralis,11.850912313022969,0.0,11.926062945631035,12.705952008667133,14.696886099371486,14.55212788077697,13.710951989470978,12.935703913414594,13.30568303255883,9.032053462004098,11.652227905954337,13.11149349601285,9.78393835033939,14.8411380929121,14.614223417454248,11.768404727560961,14.424463463226013,10.083775094010399,13.484096807077034,9.390112669130552,10.706044296309438,13.9558987116767,6.714873819598255,15.146479662057583,19.154549100457945,10.82837976748151,12.107489578652352,10.822099606215444,16.840498951842786,11.93233352875832,11.111302256106839,10.390664312895069,7.9346054708363924,15.49753361808802,14.28874958648254,13.19302683291707,12.088587137733365,22.531937682033206,15.909576458146066,13.21152451473217,10.339753965114081,12.138793500224592,14.678773372432131,12.163727747015978,8.60007184601787,14.44660969836724,15.035441949860509,9.790064598605744,11.73480544178241,11.955913184080885,11.870987951154222,11.609364868362084,14.385993027016717,15.680242723994215,8.309870963207773,11.019247170712843,12.586342423722522,12.570367505613788,17.919459954459978,26.541283324849907,15.446231739403329,10.40150124449833,15.526661815243415
Acanthurus Acanthurus bariene,12.65920949296493,11.926062945631035,0.0,10.756755061852518,11.55546912684372,11.323092595548053,8.642202646647824,8.197318100617721,12.116017272605795,10.833176360406204,9.958348438499515,11.810319904509091,9.678645729615413,13.214793022827106,9.317482979028041,9.145599668015839,10.057817653945987,10.554985311641715,14.919409952509577,11.204175861259463,11.955044822985228,11.019300912800466,10.637469327723908,12.85099925231702,14.12178584031199,11.10103641516194,13.141392084406773,9.754055974565885,15.401695208320891,12.362940205970856,10.563710686707037,9.403302803876814,11.45597458916201,13.052233822581881,11.341987085452667,10.462988511153558,9.533393589962932,16.178583138445454,10.665462022139549,13.614607240645471,10.937311616782871,9.720725890176043,12.588863035719532,12.278199582850027,13.219550984556463,13.565081406099948,11.503171263611307,10.776102287351206,12.399877734315165,12.811227474704642,11.7851734318396,12.805209459043759,10.863260068324648,15.187415212150729,11.425165302071548,12.495287599237518,12.428329301652685,8.757896829539593,16.815405241264113,21.530084426863624,11.333696348491985,10.307010919963805,15.187044324089255
Acanthurus Acanthurus blochii,12.312325463926054,12.705952008667133,10.756755061852518,0.0,5.720022563098018,14.677581373454192,9.601538917528675,8.327548424813234,11.570863205277483,11.307958357099853,13.545112614907506,15.081342790283985,12.522070997807537,11.14651659217322,12.211332916034124,10.246201635360599,8.885554120338599,11.18007452338016,17.371301729207122,11.960457579047883,12.55474960856112,8.345731385486772,12.141630969749663,13.810866782368358,14.852838340262155,8.961417478419158,13.864110448344004,10.118910171745434,17.26410596400004,12.155754255960897,10.835819988908641,12.754555962756854,13.529308797563614,15.193839637645674,13.479477890425418,13.327364200090988,12.964776030245881,16.255546194517738,15.086910671807386,9.108339212631375,10.454400139177885,8.53082309895438,13.886164651145002,12.440232414491012,13.19545471756657,15.053489435387998,12.205697737426075,9.335843638872717,12.408772121479164,12.22216232862322,7.5514153611109425,11.997514126377851,8.658059775001796,15.778168502944707,12.218178504455627,9.251983932980329,11.78141200932724,9.618585170157944,18.573332446374838,22.264478540518525,11.391234035852607,10.775461706665677,16.962554827243906
Acanthurus Acanthurus chirurgus,12.235826226189854,14.696886099371486,11.55546912684372,5.720022563098018,0.0,14.728604614593902,8.978331412686417,9.38279283834618,12.816041110902955,11.970835129444598,14.982888604785503,15.38906659859263,13.80023576186508,12.345083479379378,12.65424517157853,12.391484622034179,9.793071257123184,12.710745350976797,18.167178444944874,13.680058966010549,13.056216238170997,10.697828769480704,13.509147468651351,13.093436079421203,15.816342892635028,9.66715140676356,14.5736277038335,10.930452552648893,17.731029876815985,11.428640179954758,10.275494762139225,13.280615181250138,15.24880349551534,15.234884758815312,15.195429234815151,14.848334039474832,14.284362559054959,16.540979768258754,15.625045381547295,11.326409937506853,11.992237730962621,10.584550201502134,14.799772774344003,12.479201728865998,13.947104297837553,14.921771411721823,13.66362638162964,9.634140671108499,12.517717248051722,12.743167050149461,10.533274415857194,12.922831274914325,10.491231165130191,16.13882191753732,13.127186627962558,10.293981248333344,12.654022364023056,11.354871229618334,18.2489377671693,22.136165520667703,12.639774874310746,12.894619701814177,16.74560608500996
Acanthurus Acanthurus chronixis,14.047208321642419,14.55212788077697,11.323092595548053,14.677581373454192,14.728604614593902,0.0,12.304017819237666,12.18995833861357,12.986521553568707,14.783417557304537,12.048685945755436,13.207667624583864,12.768033141490779,14.425780186960896,11.256991515735123,13.855235346382871,12.987549438189316,12.855804572126923,16.734406471601414,14.260829829968097,13.226188387068573,13.701659330381727,14.428501481456598,12.737302100387414,19.429065861759003,15.593970060716925,15.171834592657685,9.813915725290386,15.73557124810553,14.789291554049527,12.99625046268447,11.31940151319657,13.70550778796027,13.811645911480428,15.781289276913704,11.545625684386097,14.787237265736936,19.446937351944932,10.97871269549356,15.515358957683162,13.339330849187776,14.445058034438842,12.803213508141624,14.040631834912215,14.206632139132862,17.005825020616363,16.94855745667536,14.2096768955531,13.867515916236865,13.727007683621949,16.374609126740257,14.336192280886472,13.405294605180645,14.562674745185308,13.146152411964904,13.466819600481667,12.882515740842333,12.43485745016594,15.05255014575671,24.61450461873545,16.39430287553426,14.6814547148808,15.549406611197153
Acanthurus Acanthurus dussumieri,11.379747777432625,13.710951989470978,8.642202646647824,9.601538917528675,8.978331412686417,12.304017819237666,0.0,8.047641192136593,12.65997609274564,12.553002061047128,12.23479715578157,12.482464584370476,12.438615758163172,11.27706026347994,9.904715784522947,10.866303136833208,8.972246360790226,11.984651923290434,17.028300228444557,11.89135086590274,12.198662247036122,10.538972232971378,12.83969304593169,10.440122289819962,14.465811449231127,11.452806605355152,13.168013536426407,9.319805487123087,15.019936392110894,11.654469972736235,8.476088849579352,11.480511794967251,13.445270713807624,13.825415528379704,12.890599446670407,13.18376240812549,13.15273941383705,15.765143802880583,12.922521190911576,11.507109747086,10.78692316408346,8.91288842486656,13.046184362308075,11.495649018079387,12.16008884085016,12.802810882363584,11.58955874247712,11.235582433168478,10.314476418186736,11.868398489506681,10.60854700310768,11.875647700985638,10.430088831731245,15.125575222424445,12.007625994855037,9.587670630149669,11.58516143864819,8.579865135077764,15.628707923126116,22.0472097887693,12.595914381201029,11.550205669748609,15.956757507657382
Acanthurus Acanthurus fowleri,13.110810566042515,12.935703913414594,8.197318100617721,8.327548424813234,9.38279283834618,12.18995833861357,8.047641192136593,0.0,12.268682686158288,12.240161673278804,12.201493065863016,13.18179180623877,11.948549447201204,11.54096539682701,10.141928677391094,10.103485559824207,8.976117333330091,10.82086164185817,16.48543358740533,12.694882765502502,11.976516283081589,9.30185954694056,12.571640742183854,12.589152276432925,14.1607040338337,8.998156625548356,13.01988044319713,7.97110616569118,17.19523293190559,13.19602726007121,9.384603778746087,11.707722339690662,12.130705567577566,13.124884086258538,12.471163082349511,13.113890509118011,12.641908962949975,16.285848076892325,13.461999433361477,10.930138727995514,10.893846595274708,9.226609203397414,13.494514643381624,12.047703813060812,13.120186684173161,13.614317472126814,11.86131895114697,10.53831915201107,11.817063404550433,12.73417010035628,9.32681224043225,13.350256745158985,9.580494107839664,16.823709320818512,12.393054355976059,11.34729296221523,11.457713230200632,9.231253533789651,18.09858948843529,22.246349294717596,9.766988589640347,10.71993593282997,16.439813393001558
Acanthurus Acanthurus gahhm,13.037351452345433,13.30568303255883,12.116017272605795,11.570863205277483,12.816041110902955,12.986521553568707,12.65997609274564,12.268682686158288,0.0,12.09689370685666,14.965429748925153,14.484686030055535,12.42608011749402,10.427741576522209,13.435150932263662,12.535088676398587,11.368424302332969,10.742634774956139,17.38482782493426,13.960920811957191,14.13198928559974,10.542205404417015,13.200012400349236,13.56501990922608,19.353182438154167,12.135554967328673,10.929416985142737,11.214166538216492,15.252470226323343,14.19595684801645,11.917016669245584,11.621738260869629,14.34834580507934,14.068301243105818,15.799637662857933,9.659137543078982,11.170646836290874,21.102555272539682,14.27237551677021,11.724741863653112,10.348178441158879,11.223317617448123,10.190076619694368,12.622492313592703,11.937825001474636,14.340803669510443,16.905478024351662,11.246425259827266,12.08549246425313,12.504821402167355,12.133184646255804,12.753503389776133,8.539286176681461,12.915811655968163,13.225851755383514,11.147309881404569,10.283642010342628,11.05616222901868,17.409277281069315,25.378813342333896,16.290330615545635,13.565574319810775,13.00627897919461
Acanthurus Acanthurus grammoptilus,10.973237475556624,9.032053462004098,10.833176360406204,11.307958357099853,11.970835129444598,14.783417557304537,12.553002061047128,12.240161673278804,12.09689370685666,0.0,11.210655256092522,11.295221353613222,7.178211138208091,13.861297425912442,13.559683402347975,12.959035361710209,13.972403800987067,8.395152237502568,15.01809622724188,9.332991180121004,12.134096830612629,14.731513077395661,8.028273173436002,15.807592731483089,18.01804644591951,9.956791746362388,11.025452082186826,11.144661189274625,16.313984091674513,9.63728684870502,10.569676528910168,9.869852538317991,10.974427381287887,13.169028993889508,15.444733985086957,13.805837875661586,10.98406824585421,19.96954402727686,13.271910293408649,12.75584232880987,10.136225378248623,12.1778716142509,13.86396344391632,11.31079192723141,10.069752510075125,14.066244733268382,15.96736666163022,6.768346729936553,11.730225937928958,12.240370247840124,10.736822081919,10.067788146588386,13.764459007625057,15.879628591795854,8.28454764643019,9.751714864981217,12.578461492051147,10.890710689856643,18.44600978913893,24.557565092947428,14.953427900936784,10.350279323464688,13.656089399521614
