"dimension","K","Z","raw_p","bh_corrected_p"
"color",0.00596607695267738,2.38036290843176,0.006,0.018
"stripe",0.00923201884721325,-1.4059981667933,0.379,0.379
"spot",0.0351407455298219,1.20850308298865,0.09,0.135
