species,n_images,mean_dominant_fraction,mean_hue_dispersion,mean_n_significant_colors,prop_solid,mean_elongated_region_count,mean_periodicity_strength,prop_striped,mean_spot_count,mean_spot_area_fraction,prop_spotted
Acanthurus_achilles,22,0.567723928446334,0.2574181743360876,3.590909090909091,0.2727272727272727,6.863636363636363,0.10305464537042419,0.4090909090909091,3.3181818181818183,0.0035344994301226952,0.045454545454545456
Acanthurus_bariene,12,0.48087144623962336,0.19930747472948285,3.5833333333333335,0.5,5.25,0.08582210795477037,0.25,5.833333333333333,0.002693820048329904,0.25
Acanthurus_blochii,7,0.5517200585303459,0.0845549347689254,2.5714285714285716,0.8571428571428571,1.2857142857142858,0.09170047012406782,0.0,2.4285714285714284,0.0019463139137299926,0.0
Acanthurus_chirurgus,19,0.4934364496653789,0.14767697265888052,3.263157894736842,0.7368421052631579,3.736842105263158,0.08089716227996424,0.05263157894736842,6.315789473684211,0.004262360968486561,0.15789473684210525
Acanthurus_dussumieri,22,0.4942906752860608,0.19559973107171436,3.590909090909091,0.5454545454545454,6.5,0.09156687640382222,0.22727272727272727,6.454545454545454,0.004971544974928187,0.13636363636363635
Acanthurus_guttatus,17,0.5068895915949726,0.12416837082945413,3.235294117647059,0.8823529411764706,2.588235294117647,0.09677333960836132,0.0,8.117647058823529,0.004767071677035055,0.29411764705882354
Acanthurus_japonicus,17,0.42718832946160423,0.32612236239132747,4.0,0.11764705882352941,3.7058823529411766,0.07728051925094659,0.0,3.1176470588235294,0.0044259696019630715,0.0
Acanthurus_leucocheilus,13,0.525271129491202,0.11677108287260997,2.6923076923076925,1.0,4.6923076923076925,0.08222605582278207,0.23076923076923078,8.384615384615385,0.0038712711126519346,0.3076923076923077
Acanthurus_leucosternon,15,0.533384172977854,0.36812612880800505,3.7333333333333334,0.13333333333333333,3.8,0.09616048011221358,0.13333333333333333,3.2666666666666666,0.0053422480030278765,0.0
Acanthurus_lineatus,16,0.3911775916806095,0.41852190105336023,3.9375,0.0,30.3125,0.07741845417464677,1.0,2.75,0.004913632449687937,0.0
