image_key,status,reason,confidence,center_offset_fraction,extracted_path,mask_path
Zebrasoma/Zebrasoma_flavescens/012_gbif_6147644218.jpg,accepted,ok,0.6941020488739014,0.2624057953311326,data/extracted_fish/Zebrasoma/Zebrasoma_flavescens/012_gbif_6147644218.png,data/extracted_fish/Zebrasoma/Zebrasoma_flavescens/012_gbif_6147644218_mask.png
Zebrasoma/Zebrasoma_flavescens/013_gbif_6147689586.jpg,accepted,ok,0.7940322756767273,0.27633251148004573,data/extracted_fish/Zebrasoma/Zebrasoma_flavescens/013_gbif_6147689586.png,data/extracted_fish/Zebrasoma/Zebrasoma_flavescens/013_gbif_6147689586_mask.png
Zebrasoma/Zebrasoma_flavescens/014_gbif_6162860287.jpg,accepted,ok,0.8979613780975342,0.04498652940325535,data/extracted_fish/Zebrasoma/Zebrasoma_flavescens/014_gbif_6162860287.png,data/extracted_fish/Zebrasoma/Zebrasoma_flavescens/014_gbif_6162860287_mask.png
Zebrasoma/Zebrasoma_flavescens/015_gbif_6452546034.jpg,flagged,multiple_fish,,,,
Zebrasoma/Zebrasoma_flavescens/016_gbif_6147322163.jpg,flagged,multiple_fish,,,,
Zebrasoma/Zebrasoma_flavescens/017_gbif_6147587535.jpg,accepted,ok,0.90409916639328,0.07655084848492656,data/extracted_fish/Zebrasoma/Zebrasoma_flavescens/017_gbif_6147587535.png,data/extracted_fish/Zebrasoma/Zebrasoma_flavescens/017_gbif_6147587535_mask.png
Zebrasoma/Zebrasoma_flavescens/018_gbif_6159205259.jpg,flagged,multiple_fish,,,,
Zebrasoma/Zebrasoma_flavescens/019_gbif_6159465219.jpg,flagged,multiple_fish,,,,
Zebrasoma/Zebrasoma_flavescens/020_gbif_6162783778.jpg,flagged,multiple_fish,,,,
Zebrasoma/Zebrasoma_flavescens/021_gbif_6163099224.jpg,flagged,multiple_fish,,,,
Zebrasoma/Zebrasoma_flavescens/022_gbif_6171077964.jpg,accepted,ok,0.7401271462440491,0.025930097741413943,data/extracted_fish/Zebrasoma/Zebrasoma_flavescens/022_gbif_6171077964.png,data/extracted_fish/Zebrasoma/Zebrasoma_flavescens/022_gbif_6171077964_mask.png
Zebrasoma/Zebrasoma_flavescens/023_gbif_6178294388.jpg,flagged,multiple_fish,,,,
Zebrasoma/Zebrasoma_flavescens/024_gbif_6178827091.jpg,flagged,multiple_fish,,,,
Zebrasoma/Zebrasoma_gemmatum/000_reference.jpeg,accepted,ok,0.8418524265289307,0.042198005304432316,data/extracted_fish/Zebrasoma/Zebrasoma_gemmatum/000_reference.png,data/extracted_fish/Zebrasoma/Zebrasoma_gemmatum/000_reference_mask.png
Zebrasoma/Zebrasoma_gemmatum/001_gbif_6133614627.jpg,accepted,ok,0.8763921856880188,0.21485375155658187,data/extracted_fish/Zebrasoma/Zebrasoma_gemmatum/001_gbif_6133614627.png,data/extracted_fish/Zebrasoma/Zebrasoma_gemmatum/001_gbif_6133614627_mask.png
