image_key,is_reference,dominant_fraction,hue_dispersion,is_solid,n_significant_colors,spot_count,mean_spot_area,spot_present,elongated_region_count,periodicity_strength,stripe_present
Acanthurus/Acanthurus_albipectoralis/015_gbif_5006832714,False,0.5752667949615116,0.1900059481344318,True,3,0,0.0,False,2,0.07750803087170444,False
Acanthurus/Acanthurus_albipectoralis/016_gbif_5007288058,False,0.5120357925012454,0.0872808368847362,True,3,27,398.14814814814815,True,0,0.07517918627839469,False
Acanthurus/Acanthurus_albipectoralis/017_gbif_4458441002,False,0.44083400027837705,0.04491846360544319,True,4,22,1055.409090909091,True,5,0.04884278748248751,False
Acanthurus/Acanthurus_albipectoralis/018_gbif_4458716005,False,0.7442372080498723,0.06645220224426229,True,2,4,828.0,False,1,0.11879120402918135,False
Acanthurus/Acanthurus_albipectoralis/021_gbif_2423080944,False,0.673125949917619,0.220971885278731,False,3,3,7367.0,False,6,0.0644353074623293,False
Acanthurus/Acanthurus_albipectoralis/022_gbif_6179337893,False,0.3755121898271444,0.14093033280556488,True,3,8,1061.75,False,11,0.08484523361307315,True
Acanthurus/Acanthurus_albipectoralis/023_gbif_1890081903,False,0.46928248522081834,0.09191882340809285,True,3,5,225.6,False,5,0.03570373592151513,False
Acanthurus/Acanthurus_albipectoralis/024_gbif_5897388528,False,0.34629793610789456,0.07851458314550191,True,4,18,2389.4444444444443,True,5,0.06829916106587769,False
Acanthurus/Acanthurus_bariene/000_reference,True,0.3627462110461486,0.3900470052876435,False,4,13,841.1538461538462,True,19,0.10072962429216899,True
Acanthurus/Acanthurus_bariene/001_gbif_6130770452,False,0.40195733816809426,0.09997665084808767,True,4,4,1048.5,False,15,0.08017179275696576,True
Acanthurus/Acanthurus_bariene/003_gbif_6179416638,False,0.5257436752849597,0.22273394649057024,False,4,14,130.21428571428572,True,3,0.0726836429193909,False
Acanthurus/Acanthurus_bariene/006_gbif_6399118601,False,0.6514287892940885,0.07130506264854926,True,2,5,660.0,False,3,0.05916381827991935,False
Acanthurus/Acanthurus_bariene/007_gbif_5063318123,False,0.5833032664570575,0.2620577975335566,False,4,1,3080.0,False,4,0.1212821938989348,False
Acanthurus/Acanthurus_bariene/008_gbif_5134869802,False,0.5188068713066116,0.2235787530582262,False,4,0,0.0,False,0,0.11473895833065721,False
Acanthurus/Acanthurus_bariene/012_gbif_5293036299,False,0.4387759810194978,0.17040835755657952,True,4,1,577.0,False,1,0.10190711682566472,False
Acanthurus/Acanthurus_bariene/017_gbif_6130061947,False,0.47238874941130227,0.15583427235160974,True,4,9,1070.0,False,3,0.07360929577229554,False
Acanthurus/Acanthurus_bariene/020_gbif_4974196207,False,0.46781918438062237,0.10857907842720418,True,3,4,2417.0,False,15,0.09430248562960498,True
Acanthurus/Acanthurus_bariene/022_gbif_4904318446,False,0.5591085591813244,0.21288235460287655,False,3,1,184.0,False,0,0.06028663414944479,False
Acanthurus/Acanthurus_bariene/023_gbif_4453789940,False,0.4308069372182385,0.2904733581756788,False,3,3,4557.0,False,0,0.08291071323015313,False
Acanthurus/Acanthurus_bariene/024_gbif_4458479533,False,0.3575717921075339,0.18381305977321163,True,4,15,1968.4666666666667,True,0,0.0680790193720443,False
Acanthurus/Acanthurus_blochii/000_reference,True,0.44583432286409785,0.2919518894870269,False,4,1,580.0,False,5,0.09517886631189738,False
Acanthurus/Acanthurus_blochii/011_gbif_6131299751,False,0.6133075523202912,0.027042651641927633,True,2,0,0.0,False,1,0.10898012653468682,False
Acanthurus/Acanthurus_blochii/012_gbif_6131304181,False,0.3943251329921111,0.09747663967153351,True,4,8,727.125,False,1,0.08792590685888968,False
Acanthurus/Acanthurus_blochii/013_gbif_6131412833,False,0.5674339321550328,0.04354742969832629,True,2,2,648.5,False,0,0.08697711772473148,False
Acanthurus/Acanthurus_blochii/014_gbif_6133330659,False,0.5094826895656771,0.04311905535130266,True,2,2,506.5,False,0,0.06740936217870341,False
Acanthurus/Acanthurus_blochii/022_gbif_6162949840,False,0.7856651522578147,0.07062983736780934,True,2,0,0.0,False,2,0.05420361207846595,False
Acanthurus/Acanthurus_blochii/024_gbif_6163234743,False,0.5459916275573967,0.01811704016455143,True,2,4,612.5,False,0,0.14122829918110005,False
Acanthurus/Acanthurus_chirurgus/000_reference,True,0.5806665696934434,0.24780559018497605,False,4,3,1270.0,False,5,0.09588169493964742,False
Acanthurus/Acanthurus_chirurgus/001_gbif_6131107325,False,0.40537639677719695,0.1424005428996574,True,4,7,3511.1428571428573,False,4,0.08735374288765844,False
Acanthurus/Acanthurus_chirurgus/002_gbif_6131140047,False,0.3638520885930514,0.2966473154145376,False,4,3,1796.0,False,4,0.09145409881865324,False
Acanthurus/Acanthurus_chirurgus/003_gbif_6133025832,False,0.4244399214223407,0.09621927841995925,True,3,6,378.1666666666667,False,2,0.06567247811081595,False
Acanthurus/Acanthurus_chirurgus/004_gbif_6133103564,False,1.0,0.019687973792846883,True,1,0,0.0,False,0,0.07080173380964916,False
Acanthurus/Acanthurus_chirurgus/005_gbif_6133390214,False,0.4584846843313914,0.06501260646121239,True,3,13,1950.3846153846155,True,4,0.0807307915941959,False
Acanthurus/Acanthurus_chirurgus/007_gbif_6147466813,False,0.6743708426570211,0.06066585616064581,True,2,1,329.0,False,0,0.09459011400900078,False
Acanthurus/Acanthurus_chirurgus/008_gbif_6159707618,False,0.5102077379806624,0.10188665483665205,True,3,1,851.0,False,4,0.1129032283221177,False
Acanthurus/Acanthurus_chirurgus/009_gbif_6195964958,False,0.350426945869701,0.18585838894266843,True,4,12,372.25,True,2,0.05586194466724852,False
Acanthurus/Acanthurus_chirurgus/010_gbif_6163173250,False,0.5010841280043661,0.15190015821495753,True,3,4,1463.0,False,3,0.09587321059867908,False
Acanthurus/Acanthurus_chirurgus/014_gbif_6163316405,False,0.5181768804315253,0.07153602967437744,True,3,8,374.625,False,1,0.08577223372293842,False
Acanthurus/Acanthurus_chirurgus/015_gbif_6147359530,False,0.4624852922906024,0.21189406572384922,False,4,10,2540.3,False,7,0.05088280976100723,False
Acanthurus/Acanthurus_chirurgus/017_gbif_6159375673,False,0.4839600550240993,0.14503328273027408,True,3,5,2314.4,False,5,0.09606257368469286,False
Acanthurus/Acanthurus_chirurgus/018_gbif_6162896452,False,0.4426019507158964,0.15803609037040717,True,4,16,3103.3125,True,9,0.08582952311527231,True
Acanthurus/Acanthurus_chirurgus/019_gbif_6171254203,False,0.512290463719235,0.09196159968347488,True,3,2,1259.0,False,1,0.0603863900963857,False
Acanthurus/Acanthurus_chirurgus/020_gbif_6163068202,False,0.3650400717888418,0.24007145023509746,False,4,5,584.4,False,4,0.0805466195748677,False
Acanthurus/Acanthurus_chirurgus/021_gbif_6171405104,False,0.41711966051764043,0.27702070081758406,False,4,9,380.77777777777777,False,6,0.0614868481639766,False
Acanthurus/Acanthurus_chirurgus/023_gbif_6179225801,False,0.43434173534853543,0.1237196310969548,True,3,4,565.5,False,5,0.08303542367365954,False
Acanthurus/Acanthurus_chirurgus/024_gbif_6188385277,False,0.4703671184766504,0.11850526485859753,True,3,11,864.7272727272727,False,5,0.08192062376885412,False
Acanthurus/Acanthurus_chronixis/000_reference,True,0.37084752145872235,0.2911305829157293,False,3,4,494.5,False,0,0.05801360220591016,False
Acanthurus/Acanthurus_dussumieri/000_reference,True,0.5960527669548958,0.33554867485251144,False,4,4,1945.5,False,10,0.09567276765005268,True
Acanthurus/Acanthurus_dussumieri/001_gbif_6129983817,False,0.4031314771867475,0.20001834199560423,False,4,15,1663.0,True,7,0.10077500082753425,False
Acanthurus/Acanthurus_dussumieri/002_gbif_6130109340,False,0.5613059878851454,0.10449025284738063,True,3,6,4657.0,False,4,0.07942647013883232,False
Acanthurus/Acanthurus_dussumieri/004_gbif_6162782640,False,0.46318247671128054,0.14130807159413214,True,2,3,1704.6666666666667,False,0,0.09832073667022131,False
Acanthurus/Acanthurus_dussumieri/005_gbif_6188521761,False,0.5521865616413886,0.19750459664825634,True,4,3,2525.6666666666665,False,3,0.1384398156168373,False
Acanthurus/Acanthurus_dussumieri/006_gbif_6133433646,False,0.3699170213789593,0.2376476785758174,False,4,3,1723.0,False,14,0.04566090319098082,True
Acanthurus/Acanthurus_dussumieri/007_gbif_6133516378,False,0.5256318558354307,0.23116673945818966,False,4,6,2338.5,False,8,0.10643044549814451,True
Acanthurus/Acanthurus_dussumieri/009_gbif_6162979812,False,0.5336554864060423,0.21647901888031187,False,4,5,779.2,False,1,0.07100831470900026,False
Acanthurus/Acanthurus_dussumieri/010_gbif_6171005373,False,0.48784412173907127,0.24506030493000613,False,4,5,1475.4,False,6,0.05848149050730701,False
Acanthurus/Acanthurus_dussumieri/011_gbif_6171157955,False,0.3697684479807385,0.15448422280008395,True,4,4,480.25,False,9,0.07678648356331255,True
Acanthurus/Acanthurus_dussumieri/012_gbif_6171204124,False,0.45034623194189943,0.14285146911808672,True,4,11,964.0909090909091,False,6,0.08836109565434982,False
Acanthurus/Acanthurus_dussumieri/013_gbif_6171376446,False,0.41465159575188815,0.21100037290621781,False,4,12,1696.5833333333333,True,6,0.138498386410934,False
Acanthurus/Acanthurus_dussumieri/014_gbif_6178364959,False,0.4175729766669921,0.24945538299958775,False,4,2,1183.5,False,4,0.09316597615794471,False
Acanthurus/Acanthurus_dussumieri/015_gbif_6178478511,False,0.77811490109734,0.1564922237227355,True,3,3,2606.0,False,4,0.08573584051914512,False
