"dimension","K","Z","raw_p","bh_corrected_p"
"color",0.00622579641292559,2.19992687668326,0.009,0.027
"stripe",0.0080501383800488,-0.734943519241304,0.569,0.569
"spot",0.0361757916728819,1.70530596449049,0.044,0.066
