,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_tennentii,3.074404,1.352449,3.815979,1.270823,1.319662,2.363594,2.569105,3.220399,3.046091,2.831014,0.780512,2.032893,2.425404,1.257789,1.677394,0.873191,2.625089,2.355830,0.000000,1.472830,2.131574,2.727156,1.453178,1.168457,1.927353,3.624045,2.431477,2.811747,2.078401,2.496312,2.141853,3.184314,1.774382,3.411290,3.256936,3.968749,2.975262,2.098616,1.861673,2.996846,2.822232,1.860109,1.543127,1.520234,1.617749,2.305424,1.706266
Acanthurus_xanthopterus,2.688106,1.521284,2.683118,0.580483,1.679048,1.422944,3.342800,2.166422,2.975264,3.689228,1.530699,0.804745,1.642743,1.287487,1.252979,2.281286,1.317690,3.210669,1.472830,0.000000,2.959391,1.397185,2.384042,0.920816,1.521791,2.328915,1.993267,1.393334,1.321579,2.242305,1.809864,2.016594,2.476269,2.050508,1.833314,2.627648,1.884411,0.888045,2.183319,2.553512,1.750142,2.003200,1.135391,0.642982,1.954376,2.025544,2.615971
Ctenochaetus_binotatus,2.805521,1.760779,5.609427,2.981372,1.609396,4.266766,0.699619,5.017671,2.330117,0.759350,1.893572,3.134810,3.009681,3.219065,2.254776,1.708523,3.771623,0.410604,2.131574,2.959391,0.000000,3.501753,0.898302,2.828209,3.554112,5.226386,2.277115,4.215369,3.778016,4.492654,4.117042,4.899481,3.750639,4.961559,4.142091,5.537186,4.793768,3.820255,1.420671,2.438562,3.515269,3.891746,2.068918,3.365505,1.127971,1.962173,0.667802
Ctenochaetus_cyanocheilus,2.444342,2.167996,2.888406,1.837377,2.369259,2.260423,3.801370,2.562341,2.896376,4.156605,2.545448,0.955542,1.557924,2.587353,1.638024,3.417498,1.019862,3.745709,2.727156,1.397185,3.501753,0.000000,3.138787,2.078930,2.408348,2.265214,1.799369,1.247368,2.140084,3.286004,2.881935,2.285913,3.845025,1.929257,0.672738,2.420319,2.364607,1.685051,2.619044,2.080182,1.271461,3.254741,1.543224,1.901723,2.402040,1.895974,3.313474
Ctenochaetus_flavicauda,3.062458,1.598238,4.942881,2.300534,1.458731,3.588476,1.542417,4.297629,2.759980,1.601401,1.084487,2.609243,2.901029,2.530245,2.044385,1.111388,3.194415,1.243663,1.453178,2.384042,0.898302,3.138787,0.000000,2.053606,2.757713,4.637526,2.364111,3.647182,2.998239,3.666665,3.313332,4.298495,3.000463,4.402826,3.789813,4.946081,4.177507,3.221338,1.596613,2.668986,3.360233,3.068797,1.735723,2.715889,1.076641,1.759372,0.962282
Ctenochaetus_hawaiiensis,3.374983,1.876670,2.934427,0.521348,1.957300,1.655695,3.352829,2.259460,3.514827,3.581876,1.008698,1.258050,2.474529,1.208903,1.804386,1.910637,1.624275,3.139054,1.168457,0.920816,2.828209,2.078930,2.053606,0.000000,0.903086,2.744409,2.582658,1.895559,0.981456,1.792098,1.384245,2.400363,2.002900,2.574451,2.571206,3.075314,2.271339,1.431488,2.488385,3.089310,2.635188,1.471069,1.555696,0.944181,2.068171,2.109914,2.574370
Ctenochaetus_striatus,4.096188,2.669665,2.541118,1.037609,2.805555,1.645768,4.126402,1.863722,4.290822,4.308272,1.699453,1.530893,3.132896,1.819381,2.458731,2.638645,1.622376,3.896493,1.927353,1.521791,3.554112,2.408348,2.757713,0.903086,0.000000,2.444646,3.266778,1.848935,0.741387,1.334833,0.971104,2.123942,2.259453,2.423114,2.787174,2.890117,2.102257,1.610214,3.327079,3.723000,3.119828,1.485843,2.337698,1.331311,2.843154,2.644985,3.358905
Ctenochaetus_strigosus,4.303995,3.716387,0.791344,2.405788,3.937816,1.573843,5.608092,1.118589,4.834486,5.958295,3.662780,2.169662,3.152582,2.951305,3.212789,4.487800,1.800444,5.493795,3.624045,2.328915,5.226386,2.265214,4.637526,2.744409,2.444646,0.000000,3.787259,1.126681,2.084571,2.503902,2.311869,0.614755,3.791703,0.455994,1.961135,0.898299,0.954443,1.587523,4.388620,4.203437,2.717368,3.006867,3.312287,2.133901,4.185164,3.863579,4.907628
Ctenochaetus_tominiensis,0.962072,1.147764,4.368101,2.392317,1.323963,3.320833,2.317569,4.005225,1.173002,2.768543,2.358469,1.977712,1.049146,2.906386,0.953561,2.786835,2.579964,2.381078,2.431477,1.993267,2.277115,1.799369,2.364111,2.582658,3.266778,3.787259,0.000000,2.825418,3.224913,4.207348,3.762052,3.596657,4.047271,3.445845,2.272571,4.036915,3.565914,2.683312,1.196456,0.668007,1.405445,3.856270,1.111559,2.574583,1.293865,1.528942,2.059124
Ctenochaetus_truncatus,3.444119,2.785483,1.661623,1.596858,2.985055,1.321579,4.604101,1.349339,3.909995,4.940212,2.749090,1.147553,2.320949,2.287908,2.299062,3.638060,0.763641,4.489703,2.811747,1.393334,4.215369,1.247368,3.647182,1.895559,1.848935,1.126681,2.825418,0.000000,1.437299,2.368045,2.037037,1.158682,3.364968,0.854359,1.187359,1.408021,1.272991,0.989399,3.408008,3.233353,1.994703,2.602505,2.265888,1.450628,3.161093,2.788195,3.946144
