,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Naso_minor,2.293447,3.795461,2.971790,3.175297,3.047473,4.000366,1.105838,4.505623,0.751851,0.575799,2.639634,2.161784,2.507597,3.604748,3.290023,4.085346,3.667291,2.374478,1.745956,0.840567,0.862926,1.127717,0.594391,4.040295,4.449380,2.139303,2.345917,1.209158,2.958840,4.782852,3.750738,4.840246,2.637552,4.943684,1.953533,0.000000,3.419066,2.942603,4.493068,0.208520,2.936936,1.825295,3.873231,2.844757,4.530669,2.379583,2.227843
Naso_tonganus,1.135849,0.824530,1.591320,1.943840,2.562794,3.169495,2.442749,2.844073,3.056470,2.943250,1.423638,2.550991,1.832612,2.011025,2.281241,1.876852,1.990979,2.102282,3.172884,2.671241,2.909811,2.446104,3.157061,1.960994,2.972031,3.271195,1.289701,2.495566,2.151987,2.819297,0.833492,1.887657,1.332947,2.075569,2.683353,3.419066,0.000000,1.455653,2.164942,3.488299,1.170952,1.969773,1.166750,1.289423,2.152690,1.101793,3.118849
Naso_unicornis,1.378191,1.446771,2.420708,0.977811,1.378830,2.165182,1.986622,2.139900,2.337295,2.404935,1.236108,1.292653,2.474032,1.176916,1.040358,1.332844,1.413299,1.072839,2.183459,2.198316,2.194581,2.280852,2.480568,1.396809,2.154556,2.006966,1.159315,1.838846,1.353063,2.260360,1.206426,2.197868,1.548419,2.136372,1.562129,2.942603,1.455653,0.000000,1.857113,2.924063,2.215854,1.395169,1.053937,1.406792,1.775117,1.198349,2.083966
Naso_vlamingii,2.781573,1.397035,3.715044,1.389120,1.894088,1.697185,3.685647,0.892164,3.968934,4.034820,2.926998,2.734208,3.867029,0.979341,1.556510,0.554003,0.916223,2.194299,3.329298,3.862072,3.852894,3.906866,4.090991,0.501423,1.106318,3.532734,2.322689,3.568757,1.707553,0.694746,1.341812,0.921516,3.122856,0.861952,2.858638,4.493068,2.164942,1.857113,0.000000,4.473662,3.226798,3.202755,1.271254,2.970315,0.301310,2.445626,2.966232
Paracanthurus_hepatus,2.372644,3.835337,3.104171,3.133938,2.964289,3.912438,1.153929,4.449779,0.659411,0.594366,2.680487,2.064026,2.654979,3.565321,3.221569,4.061318,3.640508,2.323566,1.616644,0.890783,0.797446,1.255423,0.494558,4.013290,4.382911,1.991946,2.387246,1.200122,2.918140,4.737170,3.779598,4.857050,2.710710,4.944772,1.850657,0.208520,3.488299,2.924063,4.473662,0.000000,3.067278,1.843063,3.881631,2.901496,4.507808,2.438235,2.112636
Prionurus_laticlavius,1.009119,1.876548,0.847333,2.706287,3.206960,3.960304,2.121461,3.810243,2.816017,2.575076,1.643730,2.907472,0.909216,2.906170,3.072864,2.943362,2.848797,2.532956,3.274482,2.304424,2.690677,1.889771,2.866702,2.985915,3.916061,3.514859,1.501505,2.322054,2.736604,3.849052,1.960442,2.974595,1.291956,3.223226,2.938135,2.936936,1.170952,2.215854,3.226798,3.067278,0.000000,1.945070,2.303511,1.489340,3.256774,1.237722,3.370368
Prionurus_microlepidotus,1.044676,2.424458,1.847467,2.087871,2.225993,3.223058,0.737237,3.432722,1.287493,1.255453,0.862888,1.356980,1.668164,2.438182,2.161360,2.708530,2.599674,1.543496,1.958623,0.991846,1.122895,1.055582,1.418069,2.747031,3.417904,1.656700,1.326131,0.659388,2.176708,3.607041,2.276346,3.434668,1.034724,3.449029,1.520048,1.825295,1.969773,1.395169,3.202755,1.843063,1.945070,0.000000,2.280891,1.127717,3.152662,1.231080,2.194597
Zebrasoma_desjardinii,1.869173,0.817028,2.601543,1.397324,2.014631,2.410757,2.886713,1.945402,3.333205,3.348678,1.781913,2.313489,2.825876,1.262396,1.566380,0.876111,1.381690,1.918250,3.126240,3.114050,3.187340,3.075438,3.466688,1.047899,2.066293,3.039793,1.703965,2.802630,1.828574,1.871172,0.502485,1.258896,1.967477,1.187631,2.542462,3.873231,1.166750,1.053937,1.271254,3.881631,2.303511,2.280891,0.000000,1.774277,1.140952,1.683227,2.938747
Zebrasoma_flavescens,1.028962,1.947053,1.220357,2.310286,2.708399,3.559582,1.747691,3.465796,2.401326,2.307858,0.303960,2.177966,1.402718,2.510650,2.441199,2.501994,2.655510,2.137088,2.943177,2.012217,2.238509,1.825295,2.519507,2.613181,3.516639,2.592851,1.563144,1.772381,2.555681,3.515461,1.777632,2.918853,0.303976,2.930176,2.415009,2.844757,1.289423,1.406792,2.970315,2.901496,1.489340,1.127717,1.774277,0.000000,2.873994,1.320543,3.057589
Zebrasoma_gemmatum,2.789672,1.437280,3.683774,1.436592,1.931561,1.787189,3.680798,1.000183,3.974699,4.049897,2.832081,2.709542,3.859595,1.026984,1.528802,0.454799,1.068987,2.235848,3.387405,3.868700,3.852489,3.918971,4.104538,0.518433,1.183015,3.470194,2.381119,3.551525,1.825378,0.782709,1.319508,0.951139,3.051045,0.737210,2.877780,4.530669,2.152690,1.775117,0.301310,4.507808,3.256774,3.152662,1.140952,2.873994,0.000000,2.482914,3.042637
Zebrasoma_scopas,0.431518,1.438652,1.692167,1.560098,1.986282,2.809655,1.501565,2.824490,2.040172,1.929278,1.246445,1.738755,1.599730,1.850657,1.910627,2.082808,1.844540,1.295645,2.158152,1.690554,1.909448,1.549676,2.127544,2.082442,2.881435,2.469254,0.300050,1.558395,1.567594,2.953665,1.429715,2.548177,1.219992,2.713027,1.758846,2.379583,1.101793,1.198349,2.445626,2.438235,1.237722,1.231080,1.683227,1.320543,2.482914,0.000000,2.186649
Zebrasoma_veliferum,2.462574,2.981157,3.728723,1.644849,1.169049,1.903849,2.103579,2.628897,1.789469,2.005723,2.802550,1.097966,3.481503,2.018249,1.648986,2.659587,2.089204,1.053468,0.514880,2.071040,1.790983,2.450854,1.853626,2.534670,2.509744,1.603654,1.927292,1.908502,1.325902,2.990401,2.912871,3.642418,3.022733,3.673795,0.722650,2.227843,3.118849,2.083966,2.966232,2.112636,3.370368,2.194597,2.938747,3.057589,3.042637,2.186649,0.000000
