,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_mata,1.439294,1.569103,3.852596,2.509740,1.173426,3.424563,3.088424,1.722348,2.111523,1.230611,0.000000,1.040098,0.828784,1.060792,3.178455,0.939732,2.138801,3.808604,1.901332,1.307718,1.767756,1.220318,1.049667,1.941624,2.234363,1.879554,3.227942,3.668984,3.909978,2.697655,2.293310,1.792900,2.890270,3.509268,1.578871,4.030478,2.637434,2.269159,0.399544,3.558437,3.705161,2.894084,1.859214,3.142334,3.691180,3.546999,0.964123
Acanthurus_monroviae,1.541741,0.644133,2.821924,1.724285,0.912396,2.471741,2.406240,1.052947,1.243801,2.014015,1.040098,0.000000,0.698069,0.837848,2.266417,1.714745,1.210909,2.781176,2.073435,1.757003,0.866458,1.408497,0.500491,2.287016,1.638648,1.918201,2.249859,2.903486,3.070910,1.866973,1.254090,0.898785,1.966245,2.502382,0.900006,3.013781,1.964407,1.888186,1.142446,2.616997,2.678639,1.857769,2.450761,2.249562,2.679635,2.537956,1.593085
Acanthurus_nigricans,1.916800,0.922252,3.327021,1.772685,1.432336,3.090666,2.431460,0.988573,1.937857,1.396880,0.828784,0.698069,0.000000,0.277465,2.541611,1.118936,1.574143,3.300772,1.420048,1.063304,1.491121,0.716168,0.741761,1.650195,1.409241,1.281925,2.881757,2.923502,3.149083,2.395414,1.784658,1.063995,2.442621,2.917020,1.565661,3.581899,1.817587,1.607235,0.701309,3.253439,3.155126,2.299217,1.763398,2.502817,3.240930,3.086302,0.951710
Acanthurus_nigricauda,2.175747,0.860540,3.265692,1.561196,1.619625,3.086802,2.199826,0.781041,2.033885,1.468925,1.060792,0.837848,0.277465,0.000000,2.379954,1.220366,1.472953,3.245651,1.236613,1.035665,1.530417,0.621340,0.780184,1.494669,1.222703,1.100974,2.910855,2.688775,2.932467,2.357235,1.772448,0.973304,2.364166,2.810369,1.735773,3.555709,1.588492,1.337161,0.919766,3.263120,3.078054,2.241175,1.719431,2.333828,3.205187,3.041609,1.027212
Acanthurus_nigrofuscus,3.612364,1.687880,1.474466,0.962310,2.776522,1.770839,0.981513,1.613434,2.129254,3.817686,3.178455,2.266417,2.541611,2.379954,0.000000,3.584783,1.068701,1.492774,3.038645,3.309735,1.778223,2.871157,2.153118,3.290676,1.980998,2.901259,1.972971,1.127718,1.165664,1.393449,1.421780,1.644974,0.906664,0.783694,2.546555,1.947726,1.562041,1.827860,3.219165,1.995921,1.209153,1.194927,3.885309,0.104262,1.588017,1.398769,3.395580
Acanthurus_nubilus,2.275422,2.036666,4.445734,2.744223,2.101132,4.167377,3.287577,1.979562,2.926934,0.305441,0.939732,1.714745,1.118936,1.220366,3.584783,0.000000,2.654346,4.418748,1.332410,0.595133,2.515097,0.854983,1.679374,1.339485,2.216640,1.380214,3.958097,3.805428,4.083792,3.401304,2.896921,2.155547,3.506763,4.021414,2.428490,4.693133,2.659197,2.241971,0.635777,4.322304,4.271778,3.412793,0.964144,3.532852,4.351799,4.196656,0.244981
Acanthurus_olivaceus,2.579428,0.705574,1.902819,0.850997,1.742623,1.752566,1.403386,0.843870,1.321851,2.917290,2.138801,1.210909,1.574143,1.472953,1.068701,2.654346,0.000000,1.876928,2.424334,2.488155,0.803393,2.053182,1.116515,2.658648,1.546298,2.283741,1.762182,1.876863,2.021881,1.069303,0.759340,0.827715,0.910054,1.416480,1.572037,2.226594,1.454071,1.504553,2.215495,1.963190,1.695901,1.101819,3.128257,1.053327,1.832951,1.645441,2.487151
Acanthurus_pyroferus,3.669176,2.390277,0.104262,2.218295,3.049040,0.899932,2.474115,2.634485,1.973003,4.694988,3.808604,2.781176,3.300772,3.245651,1.492774,4.418748,1.876928,0.000000,4.187876,4.259082,2.116058,3.818517,2.875222,4.489474,2.879951,3.969225,1.011475,2.431687,2.216539,1.665405,1.546350,2.337016,1.294422,0.726078,2.574232,0.466256,2.669253,3.173292,3.907156,0.991853,0.303961,1.100214,4.928697,1.594871,0.312785,0.375936,4.246253
Acanthurus_tennentii,3.260987,1.964710,4.187883,2.093870,2.779024,4.161121,2.483794,1.585837,3.251270,1.329338,1.901332,2.073435,1.420048,1.236613,3.038645,1.332410,2.424334,4.187876,0.000000,0.774915,2.697947,0.756011,1.913885,0.542608,1.578945,0.424583,4.034277,2.884521,3.209213,3.351768,2.859173,1.960117,3.291252,3.628093,2.969501,4.558241,1.827919,1.342446,1.620247,4.358871,3.967282,3.187177,0.950870,2.966233,4.203398,4.026403,1.153989
Acanthurus_xanthopterus,2.659239,1.888860,4.273104,2.401767,2.355603,4.120870,2.932939,1.708271,2.999979,0.637038,1.307718,1.757003,1.063304,1.035665,3.309735,0.595133,2.488155,4.259082,0.774915,0.000000,2.531611,0.446390,1.699092,0.943081,1.789493,0.796299,3.921178,3.382844,3.666605,3.357963,2.787430,1.937076,3.378967,3.796932,2.587572,4.574116,2.210422,1.835692,0.964144,4.293966,4.081178,3.223595,0.716189,3.251748,4.232177,4.069812,0.404069
