"dimension","K","Z","raw_p","bh_corrected_p"
"color",0.00622579641292539,2.19992687668071,0.009,0.027
"stripe",0.00991425811442155,-1.31797525951804,0.378,0.378
"spot",0.0361757916728809,1.70530596448874,0.044,0.066
