,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_maculatus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_achilles,0.000000,2.256570,1.344969,1.940994,2.450893,3.205354,1.288441,3.051046,1.952266,1.748554,0.984177,1.998799,1.059371,2.210896,2.312959,2.304480,2.342102,1.588904,2.415899,1.138040,1.480910,1.888503,1.317920,2.154547,2.452465,3.217316,2.537320,0.889450,1.344969,2.102227,3.234932,1.662247,2.696319,0.870241,2.712770,2.118378,1.575186,2.399191,0.685036,3.352297,1.444495,2.648704,2.192108,0.907173,1.161015,1.860101,1.101591,2.757539,0.418454,2.472506
Acanthurus_bariene,2.256570,0.000000,3.146521,1.503675,2.303598,2.141884,3.299241,1.437831,3.701204,3.681040,2.680953,2.830490,3.164023,1.209301,2.144741,1.168919,1.485468,2.134951,3.223963,2.565632,3.466041,3.607248,3.434727,3.889098,1.090096,1.822076,3.628485,1.962685,3.221923,2.127675,1.600475,0.891308,0.744348,2.691678,0.968818,2.890015,3.339026,4.225231,1.584726,1.289792,1.779357,0.990669,4.060644,2.351986,2.892055,1.126325,2.656663,1.118362,1.843241,2.986108
Acanthurus_blochii,1.344969,3.146521,0.000000,3.196360,3.757192,4.472853,2.052141,4.186891,2.813959,2.498499,1.617729,3.203174,0.558681,3.363939,3.578878,3.409312,3.609390,2.910683,3.658489,1.581708,2.234725,2.773568,1.941522,2.999800,3.540708,4.394876,3.541556,2.229680,2.191329,3.443679,4.374266,2.394477,3.404697,1.136537,3.447253,3.364907,0.309901,3.125237,1.800278,4.216072,2.534688,3.703946,2.913725,0.891308,1.998799,2.680636,1.008963,3.665320,1.616736,3.774142
Acanthurus_chirurgus,1.940994,1.503675,3.196360,0.000000,0.846031,1.281508,2.407104,1.275694,2.565476,2.694204,2.063380,1.414338,2.981038,0.521409,0.668150,0.708773,0.522585,0.833645,1.834104,2.123025,2.532508,2.457448,2.642920,2.738400,0.861238,1.325711,2.225717,1.273474,2.242910,0.811261,1.432889,1.556051,1.945827,2.342398,1.836623,1.461801,3.450652,3.164655,1.441540,2.053981,0.921925,1.111945,3.029770,2.577868,1.998357,1.313820,2.524913,1.472379,1.645015,1.630984
Acanthurus_dussumieri,2.450893,2.303598,3.757192,0.846031,0.000000,1.107452,2.497307,1.644939,2.395233,2.640310,2.446803,1.080065,3.447260,1.221983,0.357504,1.384129,0.900183,0.898239,1.288018,2.599067,2.559036,2.295944,2.763821,2.519323,1.508853,1.478794,1.812005,1.681797,2.298034,0.588952,1.730083,2.393527,2.733053,2.825676,2.591064,1.013029,4.014236,2.964180,2.116501,2.660756,1.469517,1.737296,2.877040,3.221655,2.195444,2.099491,3.089509,2.128084,2.248099,1.054610
Acanthurus_guttatus,3.205354,2.141884,4.472853,1.281508,1.107452,0.000000,3.527518,0.909815,3.489194,3.704794,3.296719,2.177723,4.253286,1.235232,1.176373,1.310677,0.904668,1.850330,2.318926,3.351612,3.607605,3.392198,3.774772,3.611596,1.282866,0.619801,2.862461,2.448009,3.342286,1.397497,0.883428,2.573232,2.459299,3.610931,2.334281,2.116652,4.721454,4.028908,2.694120,2.050418,2.112110,1.341064,3.943378,3.813435,3.165188,2.278568,3.786838,1.798661,2.897901,1.988185
Acanthurus_japonicus,1.288441,3.299241,2.052141,2.407104,2.497307,3.527518,0.000000,3.678323,0.765398,0.558681,1.180067,1.582788,1.533930,2.828066,2.434588,2.957542,2.826744,1.685059,1.862412,1.580189,0.249850,0.723470,0.353341,0.972614,3.143430,3.708033,1.732397,1.444133,0.285714,2.235393,3.839329,2.769241,3.750327,1.403135,3.683616,1.687368,2.257175,1.272103,1.801611,4.242753,1.931519,3.400464,1.057756,2.067806,0.774752,2.757458,1.818935,3.566383,1.603315,2.132854
Acanthurus_leucocheilus,3.051046,1.437831,4.186891,1.275694,1.644939,0.909815,3.678323,0.000000,3.824251,3.965417,3.197864,2.572898,4.077069,0.894727,1.543615,0.850709,0.967937,2.081805,2.891327,3.152494,3.807262,3.716634,3.906245,3.985950,0.692096,0.417975,3.310745,2.447565,3.513401,1.796943,0.188274,1.982138,1.612432,3.418497,1.505095,2.589508,4.427696,4.404862,2.424215,1.147850,1.970285,0.564823,4.282147,3.479055,3.222546,1.725440,3.496961,1.010749,2.683749,2.590227
Acanthurus_leucosternon,1.952266,3.701204,2.813959,2.565476,2.395233,3.489194,0.765398,3.824251,0.000000,0.443710,1.801693,1.402642,2.285714,3.043955,2.414783,3.194815,2.925254,1.752117,1.427447,2.202258,0.592064,0.154950,0.929702,0.249850,3.381860,3.779857,1.345483,1.802106,0.723470,2.187623,3.963639,3.289187,4.188263,2.120047,4.098282,1.418336,3.008591,0.774752,2.353959,4.554959,2.271946,3.649747,0.638877,2.782590,1.272103,3.203723,2.541374,3.882271,2.190596,1.792800
Acanthurus_lineatus,1.748554,3.681040,2.498499,2.694204,2.640310,3.704794,0.558681,3.965417,0.443710,0.000000,1.732397,1.704048,1.951390,3.160816,2.647197,3.309251,3.059253,1.895606,1.741150,2.134718,0.309901,0.527742,0.558681,0.527742,3.491544,3.965236,1.753063,1.741120,0.692959,2.357712,4.116373,3.233977,4.184248,1.956305,4.126889,1.722574,2.665866,0.713445,2.246447,4.628685,2.358028,3.747765,0.499700,2.507554,1.277753,3.223894,2.368257,3.969723,2.037265,2.053712
