,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_maculatus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Naso_minor,3.747014,3.018563,0.373172,2.272342,3.073691,0.696448,2.541398,2.978048,1.662232,5.027899,4.104822,2.900853,3.586471,3.161535,1.669052,4.711342,2.126069,0.219134,4.339478,4.567829,4.410818,2.135552,4.134029,3.218758,4.928934,3.013131,4.760486,0.992700,2.826734,2.716719,2.217666,2.372567,2.458748,1.788697,0.774759,2.204720,4.850441,0.000000,3.026336,4.156141,3.283082,4.282471,0.790130,0.857145,1.420965,5.346106,2.303517,0.499716,1.785457,4.557753
Naso_tonganus,3.598500,1.853193,2.687660,1.048413,2.849237,2.833758,1.255549,1.369319,2.527473,3.094561,2.721320,2.172460,1.839436,1.760172,1.698274,2.935714,1.544705,2.826133,1.750504,2.083383,2.495749,2.240125,1.902457,2.322417,2.486722,0.507606,2.203526,2.748925,1.245954,1.344220,2.284287,1.683725,1.149190,1.865254,2.342049,2.286109,2.690272,3.026336,0.000000,1.615809,0.927584,2.686860,3.082916,2.267040,1.613529,2.978636,1.285780,2.683183,2.011852,2.714899
Naso_tuberosus,3.064166,1.557964,3.848385,2.080135,2.510512,3.767655,2.380525,1.268373,3.033905,1.605227,1.634690,1.962790,1.056312,1.346329,2.511642,1.549019,2.203431,3.977851,0.187115,0.507613,1.153119,2.510113,0.539533,1.830087,0.965220,1.454946,0.630978,3.568507,2.641586,2.833672,2.507788,1.969139,1.704851,2.742555,3.514456,2.517158,1.211375,4.156141,1.615809,0.000000,1.157676,1.490395,3.948742,3.511730,2.805644,1.373963,2.563149,3.747860,2.585882,1.345979
Naso_unicornis,3.257548,1.491415,2.939681,1.037196,2.367407,2.900187,1.231039,1.004600,2.481406,2.575305,2.132423,1.906697,1.472091,1.338712,1.769832,2.410865,1.292743,3.083974,1.316052,1.660135,2.032810,2.015633,1.474244,1.842831,1.827013,1.063404,1.764258,2.892381,1.599243,1.817127,1.948055,1.519468,1.091924,1.721051,2.564535,2.118691,2.281644,3.283082,0.927584,1.157676,0.000000,2.187712,3.118012,2.549519,1.943366,2.474725,1.439626,2.847566,1.855908,2.217968
Naso_vlamingii,1.814996,1.278973,4.062062,2.746802,1.704360,3.803164,3.253297,1.527875,2.751980,0.792542,0.429733,1.418194,0.881094,1.189484,2.679613,0.444608,2.539680,4.157295,1.536907,1.326374,0.443811,2.222979,0.983169,1.152560,1.649435,2.340381,1.498485,3.443576,3.715677,3.883156,2.257439,1.930222,2.076164,3.122427,3.817049,2.149162,0.918800,4.282471,2.686860,1.490395,2.187712,0.000000,3.887453,3.881924,3.208229,1.455700,3.397710,3.897342,2.588532,0.380012
Paracanthurus_hepatus,3.221910,2.667185,0.834455,2.183956,2.485383,0.285715,2.518601,2.713070,1.220808,4.652857,3.650281,2.519897,3.294739,2.824578,1.492854,4.319967,1.842919,0.808151,4.135467,4.334779,4.075808,1.665555,3.876218,2.759238,4.624286,3.033764,4.529397,0.793773,2.986967,2.950577,1.686234,2.069869,2.284593,1.545245,0.992175,1.775139,4.555315,0.790130,3.082916,3.948742,3.118012,3.887453,0.000000,1.178043,1.547151,5.039995,2.357079,0.596115,1.382168,4.193358
Prionurus_laticlavius,3.721926,2.606207,0.489996,1.515502,2.895073,0.903520,1.711505,2.438099,1.653528,4.573259,3.723902,2.610714,3.111112,2.702100,1.214402,4.283723,1.521851,0.638878,3.691950,3.961476,3.943506,1.911271,3.575301,2.886017,4.289792,2.343478,4.135396,1.255416,1.970981,1.872272,1.951596,1.963952,1.884992,1.151799,0.196003,2.024159,4.347691,0.857145,2.267040,3.511730,2.549519,3.881924,1.178043,0.000000,0.770036,4.781384,1.456876,0.592068,1.431694,4.110699
Prionurus_microlepidotus,3.244673,1.952291,1.098911,0.985613,2.459739,1.291736,1.419279,1.747753,1.375346,3.878059,3.098087,1.996361,2.399391,2.034206,0.640679,3.600539,1.065249,1.228874,2.983858,3.240817,3.236564,1.478014,2.852609,2.304297,3.633478,1.606692,3.421903,1.262771,1.714960,1.662354,1.576411,1.331655,1.174964,1.017834,0.806581,1.551507,3.619933,1.420965,1.613529,2.805644,1.943366,3.208229,1.547151,0.770036,0.000000,4.071915,1.207189,1.101088,1.057840,3.415655
Zebrasoma_desjardinii,3.254299,2.410175,5.068058,3.389742,3.053405,4.902350,3.703825,2.369924,3.994411,0.841000,1.726125,2.703090,1.809477,2.227957,3.677392,1.113097,3.391139,5.186534,1.240051,0.898269,1.104763,3.437999,1.230244,2.445758,0.895789,2.759714,0.803000,4.629155,3.997535,4.199656,3.431471,3.004409,2.910221,3.955378,4.759230,3.405919,0.700864,5.346106,2.978636,1.373963,2.474725,1.455700,5.039995,4.781384,4.071915,0.000000,3.905772,4.937015,3.664596,1.084818
Zebrasoma_flavescens,3.915541,2.302940,1.930372,0.686977,2.920624,2.083492,0.309913,1.902640,2.311170,3.925729,3.273695,2.551143,2.596158,2.275676,1.481553,3.708061,1.155992,2.084657,2.723342,3.066355,3.332324,2.145598,2.818193,2.655475,3.256328,1.627605,3.183341,2.356278,0.682491,0.784012,2.077874,1.876391,1.482886,1.007187,1.533937,2.305813,3.643388,2.303517,1.285780,2.563149,1.439626,3.397710,2.357079,1.456876,1.207189,3.905772,0.000000,1.916634,1.672942,3.517689
Zebrasoma_gemmatum,3.472970,2.627297,0.285727,1.842919,2.692229,0.346490,2.125712,2.569461,1.367396,4.634263,3.701252,2.548339,3.204618,2.759238,1.277970,4.319987,1.653405,0.353357,3.933135,4.167622,4.023655,1.749932,3.738766,2.821216,4.486211,2.686215,4.354831,0.868866,2.498499,2.429313,1.791207,1.984613,2.063743,1.300596,0.421511,1.859707,4.469132,0.499716,2.683183,3.747860,2.847566,3.897342,0.596115,0.592068,1.101088,4.937015,1.916634,0.000000,1.343430,4.168109
Zebrasoma_scopas,2.418811,1.340338,1.547741,1.156153,1.477307,1.245092,1.712648,1.348401,0.735672,3.323778,2.369176,1.318975,1.953943,1.470191,0.496653,3.005816,0.651398,1.648408,2.772123,2.962958,2.736421,0.544138,2.508753,1.502517,3.249208,1.897867,3.155442,1.178096,2.310626,2.375199,0.533934,0.761942,1.004600,0.868494,1.312702,0.749234,3.206842,1.785457,2.011852,2.585882,1.855908,2.588532,1.382168,1.431694,1.057840,3.664596,1.672942,1.343430,0.000000,2.865057
Zebrasoma_veliferum,2.176118,1.542675,4.321411,2.893438,2.066340,4.093110,3.358450,1.696424,3.072432,0.472415,0.742780,1.736073,1.023574,1.416081,2.924560,0.230028,2.750482,4.423007,1.348141,1.070448,0.230028,2.537317,0.859007,1.485570,1.395012,2.386203,1.213911,3.746759,3.773885,3.949847,2.565930,2.188309,2.257303,3.337824,4.058966,2.470709,0.560716,4.557753,2.714899,1.345979,2.217968,0.380012,4.193358,4.110699,3.415655,1.084818,3.517689,4.168109,2.865057,0.000000
