,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_maculatus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Naso_fageni,4.433631,3.078618,3.269848,1.976604,2.957411,1.712485,4.295003,2.654118,4.552620,4.510717,2.304051,2.875155,3.597483,1.141453,3.177865,2.359266,3.175723,4.091370,1.944750,0.571493,2.153336,3.892692,3.526719,3.224130,2.016266,2.051588,3.425928,3.796670,2.939742,2.384351,1.317190,1.566021,2.629879,0.000000,3.393316,4.105458,3.305839,3.815560,2.575925,2.243170,2.065917,3.501939,4.626687,3.718505,0.676609,2.985884,2.207499,3.445552,3.881438,3.423406
Naso_hexacanthus,3.520913,3.406799,1.137184,2.043703,3.247343,1.706390,5.048494,1.541818,4.137713,5.283346,3.389443,1.906113,2.470868,2.557870,2.768555,4.138422,1.280192,4.725412,3.454645,3.018708,1.846189,4.618797,1.563377,4.113530,2.606357,2.539982,0.579871,2.871726,0.829415,1.475776,2.882399,2.412897,1.154317,3.393316,0.000000,1.198666,1.319024,0.533648,1.316477,1.553091,1.366382,3.869854,3.184212,2.002043,3.060575,2.785038,1.260352,3.665820,3.206538,4.354214
Naso_lituratus,2.881090,3.172042,2.288547,2.400342,3.045538,2.572399,4.675038,2.580830,3.536949,4.893443,3.493878,1.816760,2.076483,3.087666,2.516160,4.242053,1.444152,4.345247,3.638070,3.849377,2.142422,4.297789,0.996055,3.924983,2.834886,3.131246,1.635777,2.291440,1.330046,2.246803,3.782977,3.202619,2.315074,4.105458,1.198666,0.000000,1.716196,1.263849,2.463376,2.468884,2.121560,3.517751,2.340900,1.586454,3.789022,2.496452,2.068847,3.315136,2.692025,4.148732
Naso_maculatus,3.692362,3.589228,2.040171,2.380734,3.371377,1.933786,5.200014,1.696392,4.268131,5.445633,3.640925,2.334919,2.664897,2.356506,3.157193,4.217049,1.848401,4.876543,3.597776,3.004354,2.160808,4.809850,2.029118,4.266420,2.882152,2.932331,1.702178,3.212629,1.512202,1.653519,3.011227,2.768032,1.703660,3.305839,1.319024,1.716196,0.000000,1.332785,1.696111,1.473251,1.570173,3.954792,3.568694,2.430736,3.001597,2.944207,1.501386,3.863321,3.596281,4.536603
Naso_minor,3.881962,3.875602,1.249263,2.527977,3.718796,2.124230,5.496917,1.661046,4.528748,5.724292,3.858671,2.314623,2.866595,2.984082,3.239652,4.623899,1.540378,5.170249,3.946617,3.425451,2.334414,5.065858,1.895311,4.559206,3.069242,2.896667,0.710990,3.264882,1.228151,1.740983,3.214518,2.801368,1.438130,3.815560,0.533648,1.263849,1.332785,0.000000,1.585707,1.788207,1.826422,4.315996,3.490343,2.376356,3.447070,3.218760,1.718041,4.107209,3.555443,4.827821
Naso_tonganus,4.185824,3.715345,0.946441,2.072781,3.521122,1.076988,5.376360,0.968706,4.711167,5.627058,3.423486,2.483639,3.051302,2.096451,3.218052,4.023659,2.042769,5.077463,3.333981,2.076175,1.992458,4.940141,2.532487,4.346626,2.645259,2.314190,1.239635,3.587408,1.549128,1.356668,2.006415,1.848187,0.312058,2.575925,1.316477,2.463376,1.696111,1.585707,0.000000,1.016294,1.082725,4.226415,4.101179,2.747833,2.318303,3.238602,0.955505,4.079010,3.915129,4.561232
Naso_tuberosus,4.214640,3.480553,1.484289,1.748041,3.328374,0.839472,5.057703,0.585091,4.653506,5.277252,2.998705,2.123834,3.147379,1.628730,3.148055,3.629554,1.644963,4.758931,2.978584,1.874443,1.714760,4.580764,2.389887,3.901941,2.206496,1.751215,1.517225,3.454624,1.344084,0.593609,1.586716,1.446296,0.941091,2.243170,1.553091,2.468884,1.473251,1.788207,1.016294,0.000000,1.012357,3.957219,4.047843,2.938702,1.796684,2.914702,1.067761,3.770221,3.537042,4.252502
Naso_unicornis,3.325753,2.672623,1.668279,1.104988,2.481043,0.577792,4.329121,1.424944,3.767266,4.581546,2.461660,1.599861,2.241097,1.241955,2.260871,3.043216,1.555401,4.027683,2.357103,1.743049,0.975752,3.900250,1.805697,3.312760,1.694088,1.834901,1.561798,2.658570,1.079245,1.092325,1.889617,1.489893,1.054042,2.065917,1.366382,2.121560,1.570173,1.826422,1.082725,1.012357,0.000000,3.170733,3.284320,2.078300,1.835186,2.193953,0.219133,3.035388,2.999846,3.526780
Naso_vlamingii,1.795520,0.572574,4.585181,2.384828,0.744966,3.430768,1.309980,4.438890,1.424001,1.614018,1.805172,2.296218,2.030258,2.805750,1.287300,1.733253,3.303231,1.004722,1.740007,3.720073,2.336003,1.151572,2.575393,1.245987,2.142475,3.465207,4.220275,1.418908,3.291473,3.716775,4.149339,3.595793,4.161130,3.501939,3.869854,3.517751,3.954792,4.315996,4.226415,3.957219,3.170733,0.000000,2.073921,2.490358,3.568809,1.168428,3.286738,0.563220,1.842193,0.934939
Paracanthurus_hepatus,1.164839,2.023817,4.135826,2.844091,2.030417,3.723298,2.945326,4.364077,1.570249,3.150877,3.058830,2.208165,1.535692,3.671288,1.565526,3.528742,2.860261,2.661769,3.209321,4.603761,2.644620,2.776450,1.739940,2.853683,2.926811,3.938694,3.589833,0.871509,2.878812,3.744138,4.818322,4.120135,3.982782,4.626687,3.184212,2.340900,3.568694,3.490343,4.101179,4.047843,3.284320,2.073921,0.000000,1.578523,4.514341,1.801661,3.310532,1.964127,1.760145,2.787037
Prionurus_laticlavius,1.577844,2.167818,2.926082,2.120606,1.959305,2.602418,3.698933,3.235407,2.266868,3.979203,2.957156,1.831427,0.633448,2.769616,1.420724,3.452981,2.241441,3.388433,2.915905,3.549326,1.844487,3.445904,1.188613,3.249227,2.509610,3.333562,2.477194,1.398705,1.946747,2.810282,3.859796,3.263404,2.698390,3.718505,2.002043,1.586454,2.430736,2.376356,2.747833,2.938702,2.078300,2.490358,1.578523,0.000000,3.649858,1.819312,2.026832,2.460170,2.459320,3.193405
Prionurus_microlepidotus,4.483668,3.119209,2.903246,1.725754,3.031908,1.390658,4.386037,2.182256,4.648923,4.579158,2.200363,2.551232,3.607680,1.055640,3.159895,2.501025,2.712278,4.159762,2.016720,0.744017,1.925647,3.920622,3.254389,3.186178,1.771757,1.490905,3.036334,3.701369,2.548488,1.861643,0.820855,1.063841,2.311496,0.676609,3.060575,3.789022,3.001597,3.447070,2.318303,1.796684,1.835186,3.568809,4.514341,3.649858,0.000000,2.874621,2.005236,3.422716,3.628216,3.515105
Zebrasoma_desjardinii,1.937630,0.791350,3.514711,1.409213,0.818849,2.475079,2.300619,3.361534,2.035766,2.536101,1.413815,1.145414,1.580617,2.088288,0.811615,1.919801,2.136876,1.973327,1.521668,3.080836,1.310334,1.896131,1.522121,1.507667,1.298604,2.530231,3.112553,0.958524,2.150213,2.617766,3.326003,2.700975,3.133083,2.985884,2.785038,2.496452,2.944207,3.218760,3.238602,2.914702,2.193953,1.168428,1.801661,1.819312,2.874621,0.000000,2.321564,0.925197,1.252207,1.689620
Zebrasoma_flavescens,3.332964,2.792127,1.573478,1.289487,2.585302,0.711838,4.465621,1.428309,3.809097,4.724987,2.649557,1.732435,2.221730,1.415428,2.336082,3.218074,1.636636,4.162532,2.531931,1.852560,1.139223,4.050041,1.834716,3.485118,1.889713,2.019294,1.479700,2.722818,1.114271,1.205188,2.022192,1.651903,0.958608,2.207499,1.260352,2.068847,1.501386,1.718041,0.955505,1.067761,0.219133,3.286738,3.310532,2.026832,2.005236,2.321564,0.000000,3.167003,3.129887,3.672192
Zebrasoma_gemmatum,2.003985,0.546952,4.345259,2.135152,0.883787,3.257075,1.391753,4.216980,1.745210,1.625828,1.479125,1.945014,2.120493,2.742825,1.157494,1.677234,2.966000,1.065030,1.608285,3.643359,2.117084,1.013990,2.335596,0.943266,1.830627,3.109436,3.966743,1.249393,3.026854,3.458414,3.940506,3.326659,3.975208,3.445552,3.665820,3.315136,3.863321,4.107209,4.079010,3.770221,3.035388,0.563220,1.964127,2.460170,3.422716,0.925197,3.167003,0.000000,1.337208,0.909022
Zebrasoma_scopas,2.490591,1.657108,3.908706,2.125260,1.886746,3.209045,2.430368,3.862722,2.524234,2.528196,1.870972,1.443045,2.428154,3.065118,1.606259,2.585164,2.251336,2.143516,2.318447,3.964593,2.093388,1.963183,1.805342,1.709710,1.890298,2.787701,3.428104,1.298479,2.528765,3.074674,3.934675,3.209228,3.725799,3.881438,3.206538,2.692025,3.596281,3.555443,3.915129,3.537042,2.999846,1.842193,1.760145,2.459320,3.628216,1.252207,3.129887,1.337208,0.000000,2.084375
Zebrasoma_veliferum,2.636251,1.049443,4.899399,2.574987,1.341384,3.650251,0.901322,4.716280,2.193654,1.139234,1.513214,2.639022,2.804176,2.988632,1.808545,1.217828,3.659435,0.720424,1.509943,3.724429,2.637629,0.580027,3.160027,0.754005,2.160738,3.399847,4.610468,2.101027,3.695912,3.976874,4.104430,3.574776,4.478862,3.423406,4.354214,4.148732,4.536603,4.827821,4.561232,4.252502,3.526780,0.934939,2.787037,3.193405,3.515105,1.689620,3.672192,0.909022,2.084375,0.000000
